tweet_id,created_at,likes,impressions,engagement_rate,retweets,quote_tweets,replies,link_clicks,video_views,profile_clicks,hashtags,pc_likes,pc_impressions,pc_engagement_rate
1608070329548554240,2022-12-28 12:00:17,19,0,0,67,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [221, 241]}]",0,0,0
1608041317799436288,2022-12-28 10:05:00,5,0,0,29,0,0,0,0,0,"[{'text': 'privacy', 'indices': [102, 110]}]",0,0,0
1607988532039000064,2022-12-28 06:35:15,8,0,0,38,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [196, 216]}]",0,0,0
1607779846351998978,2022-12-27 16:46:01,7,0,0,41,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [115, 135]}, {'text': 'NymBrazil', 'indices': [137, 147]}]",0,0,0
1607722437751316481,2022-12-27 12:57:53,8,0,0,39,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [186, 206]}]",0,0,0
1607703272210694144,2022-12-27 11:41:44,0,0,0,0,0,0,0,0,0,[],0,0,0
1607702776699666432,2022-12-27 11:39:46,0,0,0,0,0,0,0,0,0,[],0,0,0
1607667856375676930,2022-12-27 09:21:00,5,0,0,27,0,0,0,0,0,"[{'text': 'privacy', 'indices': [102, 110]}]",0,0,0
1607324341900820480,2022-12-26 10:36:00,7,0,0,41,0,0,0,0,0,"[{'text': 'privacy', 'indices': [155, 163]}]",0,0,0
1607277601483005958,2022-12-26 07:30:16,27,0,0,65,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [219, 239]}]",0,0,0
1606336388416393222,2022-12-23 17:10:13,2,0,0,11,0,0,0,0,0,[],0,0,0
1606335941307768832,2022-12-23 17:08:27,0,0,0,12,0,0,0,0,0,[],0,0,0
1606335732028776449,2022-12-23 17:07:37,0,0,0,6,0,0,0,0,0,[],0,0,0
1606335554530021377,2022-12-23 17:06:55,1,0,0,10,0,0,0,0,0,[],0,0,0
1606335029298302979,2022-12-23 17:04:49,15,0,0,70,0,0,0,0,0,[],0,0,0
1606268587534065665,2022-12-23 12:40:48,16,0,0,51,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [222, 242]}]",0,0,0
1606259807085744128,2022-12-23 12:05:55,0,0,0,0,0,0,0,0,0,[],0,0,0
1606259692623335424,2022-12-23 12:05:28,0,0,0,1,0,0,0,0,0,[],0,0,0
1606213291490955264,2022-12-23 09:01:05,0,0,0,0,0,0,0,0,0,[],0,0,0
1605961181813932038,2022-12-22 16:19:17,19,0,0,61,0,0,0,0,0,[],0,0,0
1605775206475259904,2022-12-22 04:00:17,22,0,0,58,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [221, 241]}]",0,0,0
1605467648325783561,2022-12-21 07:38:10,33,0,0,88,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [225, 245]}]",0,0,0
1605276892537446400,2022-12-20 19:00:10,7,0,0,35,0,0,0,0,0,[],0,0,0
1605242525211656192,2022-12-20 16:43:36,2,0,0,21,0,0,0,0,0,[],0,0,0
1605242311172046852,2022-12-20 16:42:45,5,0,0,37,0,0,0,0,0,[],0,0,0
1605242212828291072,2022-12-20 16:42:22,3,0,0,13,0,0,0,0,0,[],0,0,0
1605242122986479616,2022-12-20 16:42:00,1,0,0,9,0,0,0,0,0,[],0,0,0
1605241836565577728,2022-12-20 16:40:52,1,0,0,8,0,0,0,0,0,[],0,0,0
1605241250373898240,2022-12-20 16:38:32,0,0,0,10,0,0,0,0,0,[],0,0,0
1605241002654056448,2022-12-20 16:37:33,2,0,0,13,0,0,0,0,0,[],0,0,0
1605238276109090817,2022-12-20 16:26:43,10,0,0,48,0,0,0,0,0,[],0,0,0
1605119816175697920,2022-12-20 08:36:00,12,0,0,50,0,0,0,0,0,[],0,0,0
1604876715901288449,2022-12-19 16:30:00,5,0,0,31,0,0,0,0,0,"[{'text': 'SCRTSummit', 'indices': [239, 250]}]",0,0,0
1604847284608548865,2022-12-19 14:33:03,5,0,0,24,0,0,0,0,0,"[{'text': 'TIPINCon2022', 'indices': [32, 45]}]",0,0,0
1604819828170260482,2022-12-19 12:43:57,8,0,0,49,0,0,0,0,0,"[{'text': 'BUIDL', 'indices': [180, 186]}]",0,0,0
1604755414909861889,2022-12-19 08:28:00,8,0,0,37,0,0,0,0,0,[],0,0,0
1604395731900571650,2022-12-18 08:38:45,25,0,0,96,0,0,0,0,0,[],0,0,0
1604101495221358592,2022-12-17 13:09:33,3153,0,0,0,0,0,0,0,0,[],0,0,0
1603804650410455040,2022-12-16 17:30:00,19,0,0,63,0,0,0,0,0,[],0,0,0
1603793722151411712,2022-12-16 16:46:35,17,0,0,32,0,0,0,0,0,[],0,0,0
1603777580129198082,2022-12-16 15:42:26,28,0,0,43,0,0,0,0,0,"[{'text': 'BUIDL', 'indices': [246, 252]}]",0,0,0
1603732294010806276,2022-12-16 12:42:29,2,0,0,15,0,0,0,0,0,[],0,0,0
1603732224297385985,2022-12-16 12:42:12,2,0,0,16,0,0,0,0,0,[],0,0,0
1603732159117901826,2022-12-16 12:41:57,1,0,0,8,0,0,0,0,0,[],0,0,0
1603731452218298373,2022-12-16 12:39:08,0,0,0,5,0,0,0,0,0,[],0,0,0
1603731339903225857,2022-12-16 12:38:41,0,0,0,8,0,0,0,0,0,[],0,0,0
1603731258017808391,2022-12-16 12:38:22,1,0,0,8,0,0,0,0,0,[],0,0,0
1603731110797737984,2022-12-16 12:37:47,0,0,0,7,0,0,0,0,0,[],0,0,0
1603730973270708225,2022-12-16 12:37:14,1,0,0,12,0,0,0,0,0,[],0,0,0
1603730869759496193,2022-12-16 12:36:49,31,0,0,82,0,0,0,0,0,"[{'text': 'BUIDL', 'indices': [151, 157]}]",0,0,0
1603454110665261079,2022-12-15 18:17:05,0,0,0,0,0,0,0,0,0,[],0,0,0
1603443397825642514,2022-12-15 17:34:31,17,0,0,64,0,0,0,0,0,[],0,0,0
1603413150786899969,2022-12-15 15:34:19,14,0,0,54,0,0,0,0,0,"[{'text': 'Cosmonaut', 'indices': [89, 99]}, {'text': 'CosmosEcosystem', 'indices': [148, 164]}, {'text': 'SCRTSummit', 'indices': [171, 182]}]",0,0,0
1603305968992911361,2022-12-15 08:28:25,15,0,0,66,0,0,0,0,0,[],0,0,0
1603082038084608000,2022-12-14 17:38:36,19,0,0,57,0,0,0,0,0,"[{'text': 'Cosmonaut', 'indices': [84, 94]}]",0,0,0
1603068884432683015,2022-12-14 16:46:20,7,0,0,31,0,0,0,0,0,[],0,0,0
1603068635269980160,2022-12-14 16:45:20,5,0,0,24,0,0,0,0,0,[],0,0,0
1603011242494410754,2022-12-14 12:57:17,28,0,0,96,0,0,0,0,0,"[{'text': 'DevActivity', 'indices': [84, 96]}, {'text': 'CosmosEcosystem', 'indices': [104, 120]}, {'text': 'Cosmonauts', 'indices': [156, 167]}]",0,0,0
1602942993631166470,2022-12-14 08:26:05,15,0,0,73,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [257, 277]}]",0,0,0
1602720543429591040,2022-12-13 17:42:09,8,0,0,34,0,0,0,0,0,"[{'text': 'Cosmonauts', 'indices': [146, 157]}]",0,0,0
1602678693800951810,2022-12-13 14:55:51,13,0,0,44,0,0,0,0,0,[],0,0,0
1602620235525357569,2022-12-13 11:03:34,8,0,0,40,0,0,0,0,0,[],0,0,0
1602341325684330497,2022-12-12 16:35:16,9,0,0,40,0,0,0,0,0,"[{'text': 'HCPP22', 'indices': [193, 200]}]",0,0,0
1601904399227445248,2022-12-11 11:39:05,12,0,0,53,0,0,0,0,0,"[{'text': 'BTCKVR', 'indices': [264, 271]}]",0,0,0
1601606894942126080,2022-12-10 15:56:54,7,0,0,44,0,0,0,0,0,[],0,0,0
1601216655614513153,2022-12-09 14:06:14,12,0,0,49,0,0,0,0,0,[],0,0,0
1600863127700119552,2022-12-08 14:41:26,19,0,0,70,0,0,0,0,0,"[{'text': 'SCRTSummit', 'indices': [99, 110]}, {'text': 'SecretAgents', 'indices': [132, 145]}, {'text': 'Nymjas', 'indices': [150, 157]}]",0,0,0
1600573377957216285,2022-12-07 19:30:05,15,0,0,49,0,0,0,0,0,[],0,0,0
1600545328129769472,2022-12-07 17:38:37,10,0,0,48,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [225, 245]}]",0,0,0
1600487078726434816,2022-12-07 13:47:09,8,0,0,36,0,0,0,0,0,[],0,0,0
1600174120129413121,2022-12-06 17:03:34,12,0,0,42,0,0,0,0,0,[],0,0,0
1600125178830376960,2022-12-06 13:49:06,19,0,0,107,0,0,0,0,0,[],0,0,0
1600087334640357376,2022-12-06 11:18:43,12,0,0,54,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [193, 213]}]",0,0,0
1599792911499120640,2022-12-05 15:48:47,17,0,0,62,0,0,0,0,0,"[{'text': 'SCRTSummit', 'indices': [213, 224]}]",0,0,0
1599752334216683521,2022-12-05 13:07:33,0,0,0,0,0,0,0,0,0,[],0,0,0
1599429542506299392,2022-12-04 15:44:53,7,0,0,0,0,0,0,0,0,[],0,0,0
1599126475864686592,2022-12-03 19:40:36,46,0,0,97,0,0,0,0,0,"[{'text': 'GPT3', 'indices': [54, 59]}, {'text': 'gpt3chat', 'indices': [60, 69]}, {'text': 'privacy', 'indices': [70, 78]}]",0,0,0
1598668238673612800,2022-12-02 13:19:44,9,0,0,31,0,0,0,0,0,[],0,0,0
1598667952135471106,2022-12-02 13:18:36,5,0,0,34,0,0,0,0,0,[],0,0,0
1598667631841755136,2022-12-02 13:17:19,2,0,0,12,0,0,0,0,0,[],0,0,0
1598667249937702914,2022-12-02 13:15:48,2,0,0,11,0,0,0,0,0,[],0,0,0
1598667124033167366,2022-12-02 13:15:18,23,0,0,72,0,0,0,0,0,"[{'text': 'CBDCs', 'indices': [228, 234]}]",0,0,0
1598638475884072962,2022-12-02 11:21:28,36,0,0,92,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [143, 163]}]",0,0,0
1598384440677486592,2022-12-01 18:32:01,35,0,0,101,0,0,0,0,0,[],0,0,0
1598309693763584004,2022-12-01 13:35:00,14,0,0,51,0,0,0,0,0,[],0,0,0
1598229414743080960,2022-12-01 08:16:00,14,0,0,50,0,0,0,0,0,[],0,0,0
1597966775777370114,2022-11-30 14:52:22,32,0,0,84,0,0,0,0,0,[],0,0,0
1597948628756271106,2022-11-30 13:40:16,9,0,0,33,0,0,0,0,0,[],0,0,0
1597903392608690177,2022-11-30 10:40:31,8,0,0,54,0,0,0,0,0,"[{'text': 'IGF2022', 'indices': [140, 148]}]",0,0,0
1597900836193341441,2022-11-30 10:30:21,0,0,0,1,0,0,0,0,0,[],0,0,0
1597894320077545474,2022-11-30 10:04:28,12,0,0,56,0,0,0,0,0,[],0,0,0
1597877782431899649,2022-11-30 08:58:45,22,0,0,55,0,0,0,0,0,[],0,0,0
1597877277139865601,2022-11-30 08:56:44,2293,0,0,2214,0,0,0,0,0,[],0,0,0
1597876613529616385,2022-11-30 08:54:06,3,0,0,17,0,0,0,0,0,[],0,0,0
1597664256010452997,2022-11-29 18:50:16,13,0,0,56,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [72, 92]}]",0,0,0
1597624287258632192,2022-11-29 16:11:27,9,0,0,30,0,0,0,0,0,[],0,0,0
1597623498805067778,2022-11-29 16:08:19,29,0,0,114,0,0,0,0,0,[],0,0,0
1597579151929638914,2022-11-29 13:12:06,21,0,0,65,0,0,0,0,0,"[{'text': 'IGF2022', 'indices': [194, 202]}]",0,0,0
1597515933500809217,2022-11-29 09:00:53,21,0,0,73,0,0,0,0,0,[],0,0,0
1597254261309579265,2022-11-28 15:41:06,20,0,0,51,0,0,0,0,0,[],0,0,0
1596972111176036352,2022-11-27 20:59:56,8,0,0,53,0,0,0,0,0,[],0,0,0
1596533482238275586,2022-11-26 15:56:58,51,0,0,132,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [191, 211]}]",0,0,0
1596159392268881921,2022-11-25 15:10:28,21,0,0,62,0,0,0,0,0,"[{'text': 'Ethereum', 'indices': [204, 213]}]",0,0,0
1596130554428248066,2022-11-25 13:15:53,3,0,0,31,0,0,0,0,0,"[{'text': 'privacymatters', 'indices': [163, 178]}]",0,0,0
1596130215721586690,2022-11-25 13:14:32,12,0,0,48,0,0,0,0,0,[],0,0,0
1596093247197433857,2022-11-25 10:47:38,2,0,0,15,0,0,0,0,0,[],0,0,0
1595824459503616000,2022-11-24 16:59:34,16,0,0,67,0,0,0,0,0,[],0,0,0
1595797911069245442,2022-11-24 15:14:05,1,0,0,4,0,0,0,0,0,[],0,0,0
1595773774154321921,2022-11-24 13:38:10,16,0,0,62,0,0,0,0,0,[],0,0,0
1595770718410653697,2022-11-24 13:26:01,3,0,0,15,0,0,0,0,0,[],0,0,0
1595740031611797504,2022-11-24 11:24:05,0,0,0,1,0,0,0,0,0,[],0,0,0
1595738113606930432,2022-11-24 11:16:28,0,0,0,2,0,0,0,0,0,[],0,0,0
1595735986918625283,2022-11-24 11:08:01,12,0,0,51,0,0,0,0,0,[],0,0,0
1595424462861897730,2022-11-23 14:30:08,17,0,0,61,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [230, 250]}]",0,0,0
1595392655663697920,2022-11-23 12:23:44,0,0,0,3,0,0,0,0,0,[],0,0,0
1595383349388136455,2022-11-23 11:46:45,21,0,0,77,0,0,0,0,0,[],0,0,0
1595187428414865411,2022-11-22 22:48:14,9,0,0,60,0,0,0,0,0,[],0,0,0
1595127777518403590,2022-11-22 18:51:12,17,0,0,64,0,0,0,0,0,[],0,0,0
1595035617280528386,2022-11-22 12:45:00,18,0,0,63,0,0,0,0,0,[],0,0,0
1594812190405537792,2022-11-21 21:57:11,5,0,0,0,0,0,0,0,0,[],0,0,0
1594372748784021504,2022-11-20 16:50:59,8,0,0,60,0,0,0,0,0,[],0,0,0
1594370249037557760,2022-11-20 16:41:03,0,0,0,4,0,0,0,0,0,[],0,0,0
1594284398203252736,2022-11-20 10:59:55,9,0,0,0,0,0,0,0,0,"[{'text': 'Nym', 'indices': [71, 75]}]",0,0,0
1594065017246081025,2022-11-19 20:28:11,10,0,0,0,0,0,0,0,0,[],0,0,0
1593605146721759232,2022-11-18 14:00:49,12,0,0,65,0,0,0,0,0,"[{'text': 'PrivacyLovesCompany', 'indices': [255, 275]}]",0,0,0
1593352623696261120,2022-11-17 21:17:23,12,0,0,43,0,0,0,0,0,"[{'text': 'NGI', 'indices': [176, 180]}, {'text': 'EU', 'indices': [181, 184]}]",0,0,0
1593278970945945602,2022-11-17 16:24:43,5,0,0,36,0,0,0,0,0,[],0,0,0
1593203226387562496,2022-11-17 11:23:44,3,0,0,49,0,0,0,0,0,[],0,0,0
1592971049397796870,2022-11-16 20:01:08,3,0,0,39,0,0,0,0,0,[],0,0,0
1592891793074540549,2022-11-16 14:46:12,22,0,0,73,0,0,0,0,0,[],0,0,0
1592805928595820549,2022-11-16 09:05:00,8,0,0,48,0,0,0,0,0,"[{'text': 'TOKEN2049', 'indices': [242, 252]}]",0,0,0
1592557658749521921,2022-11-15 16:38:28,0,0,0,0,0,0,0,0,0,"[{'text': 'PrivacyAsDefault', 'indices': [271, 288]}]",0,0,0
1592550253449957377,2022-11-15 16:09:03,0,0,0,1,0,0,0,0,0,[],0,0,0
1592545768682000384,2022-11-15 15:51:13,0,0,0,0,0,0,0,0,0,[],0,0,0
1592476685470924801,2022-11-15 11:16:43,12,0,0,68,0,0,0,0,0,[],0,0,0
1592461513419366405,2022-11-15 10:16:25,14,0,0,73,0,0,0,0,0,[],0,0,0
1592174944644784130,2022-11-14 15:17:42,17,0,0,86,0,0,0,0,0,[],0,0,0
1592144072612904960,2022-11-14 13:15:02,15,0,0,60,0,0,0,0,0,[],0,0,0
1592105467874054144,2022-11-14 10:41:38,11,0,0,71,0,0,0,0,0,"[{'text': 'privacy', 'indices': [86, 94]}]",0,0,0
1591399531857444867,2022-11-12 11:56:29,0,0,0,0,0,0,0,0,0,[],0,0,0
1591068458128592902,2022-11-11 14:00:55,5,0,0,49,0,0,0,0,0,[],0,0,0
1590986586321465344,2022-11-11 08:35:35,28,0,0,89,0,0,0,0,0,[],0,0,0
1590726509647601664,2022-11-10 15:22:08,13,0,0,70,0,0,0,0,0,"[{'text': 'TOKEN2049', 'indices': [25, 35]}]",0,0,0
1590724510579232768,2022-11-10 15:14:12,19,0,0,87,0,0,0,0,0,[],0,0,0
1590685611979063297,2022-11-10 12:39:38,11,0,0,81,0,0,0,0,0,[],0,0,0
1590674484440227843,2022-11-10 11:55:25,1,0,0,45,0,0,0,0,0,[],0,0,0
1590673519083679744,2022-11-10 11:51:34,3,0,0,43,0,0,0,0,0,[],0,0,0
1590672639286300672,2022-11-10 11:48:05,2,0,0,19,0,0,0,0,0,[],0,0,0
1590672053643792384,2022-11-10 11:45:45,1,0,0,16,0,0,0,0,0,[],0,0,0
1590671521760133125,2022-11-10 11:43:38,0,0,0,17,0,0,0,0,0,[],0,0,0
1590670971916242945,2022-11-10 11:41:27,3,0,0,20,0,0,0,0,0,[],0,0,0
1590670869075935232,2022-11-10 11:41:03,161,0,0,279,0,0,0,0,0,"[{'text': 'cryptotwitter', 'indices': [23, 37]}]",0,0,0
